step,state,action,action_name,new_state,reward,cumulative_reward
1,s=8 (corner),1,move_right,8,-0.1,-0.1
2,s=8 (corner),1,move_right,8,-0.1,-0.2
3,s=8 (corner),1,move_right,8,-0.1,-0.3
4,s=8 (corner),1,move_right,8,-0.1,-0.4
5,s=8 (corner),1,move_right,8,-0.1,-0.5
6,s=5 (adjacent),1,move_right,5,0.3,-0.2
7,s=5 (adjacent),1,move_right,5,0.3,0.1
8,s=5 (adjacent),1,move_right,5,0.3,0.4
9,s=5 (adjacent),1,move_right,5,0.3,0.7
10,s=5 (adjacent),1,move_right,5,0.3,1.0
11,s=5 (adjacent),1,move_right,5,0.3,1.3
12,LOST,1,move_right,9,-1.0,0.3
