step,state,action,action_name,new_state,reward,cumulative_reward
1,s=8 (corner),1,move_right,8,-0.1,-0.1
2,s=8 (corner),1,move_right,8,-0.1,-0.2
3,s=8 (corner),1,move_right,8,-0.1,-0.3
4,s=8 (corner),1,move_right,8,-0.1,-0.4
5,s=8 (corner),1,move_right,8,-0.1,-0.5
6,s=8 (corner),1,move_right,8,-0.1,-0.6
7,s=8 (corner),1,move_right,8,-0.1,-0.7
8,s=8 (corner),1,move_right,8,-0.1,-0.8
9,s=8 (corner),1,move_right,8,-0.1,-0.9
10,s=8 (corner),1,move_right,8,-0.1,-1.0
11,s=8 (corner),1,move_right,8,-0.1,-1.1
12,s=8 (corner),1,move_right,8,-0.1,-1.2
13,s=8 (corner),1,move_right,8,-0.1,-1.3
14,s=8 (corner),1,move_right,8,-0.1,-1.4
15,s=7 (adjacent),1,move_right,7,0.3,-1.1
16,s=7 (adjacent),3,move_down,7,0.3,-0.8
17,s=8 (corner),3,move_down,8,-0.1,-0.9
18,s=7 (adjacent),1,move_right,7,0.3,-0.6
19,s=7 (adjacent),3,move_down,7,0.3,-0.3
20,s=7 (adjacent),3,move_down,7,0.3,-0.0
21,s=8 (corner),3,move_down,8,-0.1,-0.1
22,s=8 (corner),1,move_right,8,-0.1,-0.2
23,s=7 (adjacent),1,move_right,7,0.3,0.1
24,s=5 (adjacent),3,move_down,5,0.3,0.4
25,s=5 (adjacent),1,move_right,5,0.3,0.7
26,s=4 (center),1,move_right,4,1.0,1.7
27,s=4 (center),4,hover,4,1.0,2.7
28,s=5 (adjacent),4,hover,5,0.3,3.0
29,s=4 (center),1,move_right,4,1.0,4.0
30,s=4 (center),4,hover,4,1.0,5.0
31,s=4 (center),4,hover,4,1.0,6.0
32,s=4 (center),4,hover,4,1.0,7.0
33,s=4 (center),4,hover,4,1.0,8.0
34,s=4 (center),4,hover,4,1.0,9.0
35,s=5 (adjacent),4,hover,5,0.3,9.3
36,s=4 (center),1,move_right,4,1.0,10.3
37,s=4 (center),4,hover,4,1.0,11.3
38,s=5 (adjacent),4,hover,5,0.3,11.6
39,s=4 (center),1,move_right,4,1.0,12.6
40,s=4 (center),4,hover,4,1.0,13.6
41,s=4 (center),4,hover,4,1.0,14.6
42,s=4 (center),4,hover,4,1.0,15.6
43,s=4 (center),4,hover,4,1.0,16.6
44,s=4 (center),4,hover,4,1.0,17.6
45,s=4 (center),4,hover,4,1.0,18.6
46,s=4 (center),4,hover,4,1.0,19.6
47,s=4 (center),4,hover,4,1.0,20.6
48,s=4 (center),4,hover,4,1.0,21.6
49,s=4 (center),4,hover,4,1.0,22.6
50,s=4 (center),4,hover,4,1.0,23.6
